State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
ACT,2,270231,90078,1,8, A,SESELJA,Zed,84603,84603,84603,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,9, A,GUNNING,Robert,2889,2889,2889,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,10, B,KYBURZ,Penny,45780,45780,45780,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,11, B,DAVIDSON,Emma,2075,2075,2075,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,12, C,PESEC,Anthony,12387,12387,12387,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,13, C,KENT,Gary,217,217,217,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,14, D,VAN DUREN,Shane,2381,2381,2381,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,15, D,BIRKETT,Scott,80,80,80,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,16, E,WALTER,Peter,5951,5951,5951,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,17, E,HODGSON,Rebecah Elen,179,179,179,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,18, F,HAYDON,John,4161,4161,4161,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
ACT,2,270231,90078,1,19, F,ANGEL,Joy,302,302,302,1.000000000000000000000000000,,,0,"GALLAGHER ,K has 14856 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.141574704099719. 104934 papers are involved from count number(s) 1."
